time; Quad.GPS.X;Mean; (Quad.GPS.X-Mean)²;sum( (Quad.GPS.X-Mean)²);sum( (Quad.GPS.X-Mean)²)/N;sqrt(sum( (Quad.GPS.X-Mean)²)/N)
0,105;-0,372308;-0,017215479;0,126090698;48,52833297;0,505503468;0,710987671
0,205;0,640076;;0,409697286;;;
0,305;-0,736629;;0,542622284;;;
0,404998;0,869235;;0,755569485;;;
0,504997;0,180033;;0,032411881;;;
0,604996;-0,945388;;0,893758471;;;
0,704994;0,887913;;0,788389496;;;
0,804993;-0,259587;;0,067385411;;;
0,904992;-0,45036;;0,20282413;;;
1,004991;-1,571667;;2,470137159;;;
1,104996;-0,470616;;0,221479419;;;
1,205;-0,521729;;0,272201149;;;
1,305005;0,25351;;0,06426732;;;
1,40501;0,472054;;0,222834979;;;
1,505014;-0,728393;;0,530556362;;;
1,605019;-0,304221;;0,092550417;;;
1,705024;0,691406;;0,478042257;;;
1,805028;0,977273;;0,955062517;;;
1,905033;-0,719837;;0,518165307;;;
2,005037;0,026205;;0,000686702;;;
2,10503;-0,246088;;0,060559304;;;
2,205023;0,658061;;0,43304428;;;
2,305015;0,154281;;0,023802627;;;
2,405008;0,268249;;0,071957526;;;
2,505001;-1,340581;;1,797157418;;;
2,604994;-0,121954;;0,014872778;;;
2,704986;-0,281156;;0,079048696;;;
2,804979;-0,170173;;0,02895885;;;
2,904972;-0,305938;;0,09359806;;;
3,004965;0,506127;;0,25616454;;;
3,104957;-1,532542;;2,348684982;;;
3,20495;0,510036;;0,260136721;;;
3,304943;-0,52647;;0,277170661;;;
3,404936;0,040006;;0,00160048;;;
3,504928;0,415584;;0,172710061;;;
3,604921;-0,27702;;0,07674008;;;
3,704914;0,223281;;0,049854405;;;
3,804907;-0,66015;;0,435798023;;;
3,904899;-0,184364;;0,033990084;;;
4,004892;-1,156688;;1,337927129;;;
4,104885;1,426475;;2,034830926;;;
4,204878;-0,401427;;0,161143636;;;
4,304871;-0,634729;;0,402880903;;;
4,404863;-0,235063;;0,055254614;;;
4,504856;0,090961;;0,008273904;;;
4,604849;1,096309;;1,201893423;;;
4,704842;0,314712;;0,099043643;;;
4,804834;-0,53011;;0,281016612;;;
4,904827;0,161552;;0,026099049;;;
5,00482;0,271686;;0,073813283;;;
5,104813;-1,176552;;1,384274609;;;
5,204805;0,267671;;0,071647764;;;
5,304798;0,533194;;0,284295842;;;
5,404791;-0,653374;;0,426897584;;;
5,504784;-1,063236;;1,130470792;;;
5,604776;-2,137068;;4,567059637;;;
5,704769;0,068216;;0,004653423;;;
5,804762;0,178438;;0,03184012;;;
5,904755;0,850157;;0,722766925;;;
6,004747;0,550989;;0,303588878;;;
6,10474;1,03345;;1,068018903;;;
6,204733;-0,650024;;0,422531201;;;
6,304726;0,149263;;0,022279443;;;
6,404718;0,225016;;0,0506322;;;
6,504711;0,974751;;0,950139512;;;
6,604704;0,350449;;0,122814502;;;
6,704697;-0,937486;;0,87888;;;
6,804689;0,863443;;0,745533814;;;
6,904682;0,311764;;0,097196792;;;
7,004675;-0,503527;;0,25353944;;;
7,104668;-0,247215;;0,061115256;;;
7,20466;0,239353;;0,057289859;;;
7,304653;1,086427;;1,180323626;;;
7,404646;-0,123317;;0,015207082;;;
7,504639;-0,3302;;0,10903204;;;
7,604631;1,467836;;2,154542523;;;
7,704624;-0,626531;;0,392541094;;;
7,804617;0,346236;;0,119879368;;;
7,90461;-0,379368;;0,143920079;;;
8,004604;0,78681;;0,619069976;;;
8,104645;0,709696;;0,503668412;;;
8,204685;-1,638893;;2,685970265;;;
8,304726;0,264012;;0,069702336;;;
8,404766;-0,190171;;0,036165009;;;
8,504807;-0,217491;;0,047302335;;;
8,604847;-0,484847;;0,235076613;;;
8,704887;-0,119242;;0,014218655;;;
8,804928;0,564787;;0,318984355;;;
8,904968;0,824072;;0,679094661;;;
9,005009;-0,289752;;0,083956222;;;
9,105049;1,140529;;1,3008064;;;
9,20509;1,18494;;1,404082804;;;
9,30513;-0,568532;;0,323228635;;;
9,40517;-0,266181;;0,070852325;;;
9,505211;-0,171724;;0,029489132;;;
9,605251;0,700709;;0,490993103;;;
