time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,0.000000,0.000000,0.000016
0.010000,0.000000,0.000000,0.000002,0.000016
0.015000,0.000000,0.000000,0.000005,0.000019
0.020000,0.000000,0.000000,0.000012,0.000024
0.025000,0.000000,0.000000,0.000019,0.000034
0.030000,0.000000,0.000001,0.000022,0.000039
0.035000,0.000000,0.000001,0.000014,0.000038
0.040000,0.000000,0.000001,-0.000010,0.000026
0.045000,0.000000,0.000001,-0.000055,-0.000015
0.050000,-0.000000,0.000001,-0.000121,-0.000060
0.055000,-0.000001,0.000000,-0.000207,-0.000150
0.060000,-0.000002,-0.000000,-0.000311,-0.000230
0.065000,-0.000004,-0.000002,-0.000431,-0.000366
0.070000,-0.000007,-0.000003,-0.000561,-0.000467
0.075000,-0.000010,-0.000007,-0.000694,-0.000628
0.080000,-0.000014,-0.000009,-0.000827,-0.000726
0.085000,-0.000019,-0.000014,-0.000956,-0.000882
0.090000,-0.000024,-0.000017,-0.001080,-0.000967
0.095000,-0.000029,-0.000023,-0.001200,-0.001106
0.100000,-0.000036,-0.000028,-0.001317,-0.001189
0.105000,-0.000043,0.003526,-0.001430,0.112927
0.110000,-0.000050,0.003978,-0.001540,0.112837
0.115000,-0.000058,0.004655,-0.001642,0.112715
0.120000,-0.000067,0.005106,-0.001737,0.112640
0.125000,-0.000076,0.005781,-0.001823,0.112535
0.130000,-0.000085,0.006231,-0.001901,0.112476
0.135000,-0.000095,0.006906,-0.001968,0.112390
0.140000,-0.000105,0.007355,-0.002026,0.112342
0.145000,-0.000115,0.008029,-0.002072,0.112279
0.150000,-0.000125,0.008478,-0.002108,0.112238
0.155000,-0.000136,0.009152,-0.002133,0.112200
0.160000,-0.000147,0.009600,-0.002147,0.112169
0.165000,-0.000158,0.010273,-0.002150,0.112158
0.170000,-0.000168,0.010722,-0.002139,0.112161
0.175000,-0.000179,0.011395,-0.002115,0.112183
0.180000,-0.000189,0.011844,-0.002081,0.112209
0.185000,-0.000200,0.012517,-0.002041,0.112254
0.190000,-0.000210,0.012966,-0.001997,0.112289
0.195000,-0.000220,0.013640,-0.001948,0.112344
0.200000,-0.000229,0.014090,-0.001898,0.112383
0.205000,-0.000239,0.002540,-0.001850,0.055546
0.210000,-0.000248,0.002762,-0.001807,0.055581
0.215000,-0.000257,0.003096,-0.001771,0.055627
0.220000,-0.000265,0.003318,-0.001745,0.055648
0.225000,-0.000274,0.003652,-0.001730,0.055669
0.230000,-0.000283,0.003875,-0.001727,0.055674
0.235000,-0.000291,0.004209,-0.001736,0.055666
0.240000,-0.000300,0.004432,-0.001757,0.055648
0.245000,-0.000309,0.004765,-0.001787,0.055613
0.250000,-0.000318,0.004988,-0.001824,0.055596
0.255000,-0.000327,0.005321,-0.001862,0.055549
0.260000,-0.000337,0.005544,-0.001897,0.055531
0.265000,-0.000346,0.005877,-0.001926,0.055493
0.270000,-0.000356,0.006099,-0.001947,0.055470
0.275000,-0.000366,0.006431,-0.001962,0.055448
0.280000,-0.000376,0.006653,-0.001969,0.055438
0.285000,-0.000385,0.006986,-0.001971,0.055434
0.290000,-0.000395,0.007207,-0.001970,0.055435
0.295000,-0.000405,0.007540,-0.001972,0.055435
0.300000,-0.000415,0.007762,-0.001979,0.055433
0.305000,-0.000425,-0.003725,-0.001991,0.015615
0.310000,-0.000435,-0.003663,-0.002008,0.015602
0.314999,-0.000445,-0.003569,-0.002029,0.015580
0.319999,-0.000455,-0.003507,-0.002056,0.015560
0.324999,-0.000466,-0.003414,-0.002093,0.015521
0.329999,-0.000476,-0.003352,-0.002138,0.015490
0.334999,-0.000487,-0.003259,-0.002193,0.015429
0.339999,-0.000498,-0.003197,-0.002257,0.015389
0.344999,-0.000510,-0.003105,-0.002331,0.015308
0.349999,-0.000522,-0.003044,-0.002416,0.015248
0.354999,-0.000534,-0.002952,-0.002510,0.015144
0.359999,-0.000547,-0.002892,-0.002610,0.015071
0.364999,-0.000560,-0.002802,-0.002714,0.014952
0.369999,-0.000574,-0.002742,-0.002819,0.014863
0.374999,-0.000588,-0.002653,-0.002918,0.014743
0.379999,-0.000603,-0.002594,-0.003009,0.014667
0.384999,-0.000619,-0.002507,-0.003089,0.014568
0.389999,-0.000634,-0.002448,-0.003159,0.014513
0.394998,-0.000650,-0.002361,-0.003218,0.014440
0.399998,-0.000666,-0.002304,-0.003269,0.014384
0.404998,-0.000683,0.002858,-0.003309,0.064086
0.409998,-0.000700,0.003114,-0.003337,0.064056
0.414998,-0.000716,0.003499,-0.003354,0.064030
0.419998,-0.000733,0.003755,-0.003360,0.064013
0.424998,-0.000750,0.004139,-0.003353,0.064015
0.429998,-0.000767,0.004395,-0.003333,0.064028
0.434998,-0.000783,0.004779,-0.003302,0.064059
0.439998,-0.000800,0.005036,-0.003260,0.064100
0.444998,-0.000816,0.005420,-0.003204,0.064160
0.449998,-0.000832,0.005677,-0.003134,0.064242
0.454998,-0.000847,0.006063,-0.003051,0.064339
0.459998,-0.000862,0.006320,-0.002958,0.064412
0.464998,-0.000876,0.006707,-0.002857,0.064535
0.469997,-0.000890,0.006964,-0.002752,0.064582
