time; Quad.Accel.X;Mean; (Quad.Accel.X-Mean)²;sum( (Quad.Accel.X-Mean)²);sum( (Quad.Accel.X-Mean)²)/N;sqrt(sum( (Quad.Accel.X-Mean)²)/N)
0,005;0,552125;-0,018137052;0,325198808;25,86401413;0,261252668;0,511128817
0,01;0,074002;;0,005476296;;;
0,015;0,523563;;0,274118215;;;
0,02;-0,426176;;0,181625983;;;
0,025;0,916743;;0,840417728;;;
0,03;-0,295618;;0,087390002;;;
0,035;0,184364;;0,033990084;;;
0,04;-0,566702;;0,321151157;;;
0,045;0,314131;;0,098678285;;;
0,05;-1,080225;;1,166886051;;;
0,055;0,008201;;6,73E-05;;;
0,06;0,419944;;0,176352963;;;
0,065;-0,787765;;0,620573695;;;
0,07;0,990385;;0,980862448;;;
0,075;0,617246;;0,380992625;;;
0,08;0,198741;;0,039497985;;;
0,085;0,519587;;0,269970651;;;
0,09;0,792173;;0,627538062;;;
0,095;-0,011464;;0,000131423;;;
0,1;0,861484;;0,742154682;;;
0,105;1,078094;;1,162286673;;;
0,11;0,337731;;0,114062228;;;
0,115;0,07129;;0,005082264;;;
0,12;-0,130443;;0,017015376;;;
0,125;-0,090916;;0,008265719;;;
0,13;-1,001066;;1,002133136;;;
0,135;-0,065762;;0,004324641;;;
0,14;0,064309;;0,004135647;;;
0,145;0,403376;;0,162712197;;;
0,15;0,235177;;0,055308221;;;
0,155;-0,635164;;0,403433307;;;
0,16;0,409141;;0,167396358;;;
0,165;-0,11311;;0,012793872;;;
0,17;0,272913;;0,074481506;;;
0,175;0,837004;;0,700575696;;;
0,18;0,014164;;0,000200619;;;
0,185;-0,696655;;0,485328189;;;
0,19;-0,727465;;0,529205326;;;
0,195;-0,068947;;0,004753689;;;
0,2;0,651634;;0,42462687;;;
0,205;-0,704093;;0,495746953;;;
0,21;-0,537657;;0,28907505;;;
0,215;0,119103;;0,014185525;;;
0,22;-0,780316;;0,60889306;;;
0,225;-0,221003;;0,048842326;;;
0,23;0,04571;;0,002089404;;;
0,235;-0,332421;;0,110503721;;;
0,24;-0,282801;;0,079976406;;;
0,245;-0,5659;;0,32024281;;;
0,25;-0,10872;;0,011820038;;;
0,255;-0,712183;;0,507204625;;;
0,26;0,172653;;0,029809058;;;
0,265;-0,286136;;0,08187381;;;
0,27;-0,423157;;0,179061847;;;
0,275;-0,517299;;0,267598255;;;
0,28;0,081478;;0,006638664;;;
0,285;0,247407;;0,061210224;;;
0,29;-0,523;;0,273529;;;
0,295;-0,284861;;0,081145789;;;
