time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073915
0.015000,0.523400
0.020000,-0.426348
0.025000,0.916656
0.030000,-0.295846
0.035000,0.183183
0.040000,-0.568784
0.045000,0.310550
0.050000,-1.084929
0.055000,0.001593
0.060000,0.411888
0.065000,-0.798245
0.070000,0.978239
0.075000,0.603274
0.080000,0.184065
0.085000,0.504725
0.090000,0.777778
0.095000,-0.024296
0.100000,0.850217
0.105000,1.069797
0.110000,0.331744
0.115000,0.069069
0.120000,-0.129944
0.125000,-0.086072
0.130000,-0.993096
0.135000,-0.052617
0.140000,0.081151
0.145000,0.426059
0.150000,0.261720
0.155000,-0.603119
0.160000,0.444510
0.165000,-0.073523
0.170000,0.314744
0.175000,0.881194
0.180000,0.059248
0.185000,-0.651266
0.190000,-0.682508
0.195000,-0.025363
0.200000,0.693973
0.205000,-0.663934
0.210000,-0.499085
0.215000,0.155224
0.220000,-0.745819
0.225000,-0.188896
0.230000,0.076238
0.235000,-0.304266
0.240000,-0.256281
0.245000,-0.542007
0.250000,-0.086745
0.255000,-0.693352
0.260000,0.189239
0.265000,-0.273046
0.270000,-0.412420
0.275000,-0.510045
0.280000,0.086477
0.285000,0.249195
0.290000,-0.523208
0.295000,-0.287807
0.300000,-0.034752
0.305000,-0.316460
0.310000,0.595838
0.314999,-0.024469
0.319999,0.526665
0.324999,0.515216
0.329999,0.589590
0.334999,-0.116702
0.339999,-0.275152
0.344999,-0.049210
0.349999,-0.629753
0.354999,-0.209917
0.359999,0.113415
0.364999,0.488254
0.369999,1.140910
0.374999,0.240897
0.379999,-0.201996
0.384999,-0.654441
0.389999,0.258498
0.394998,0.145442
0.399998,-0.050716
0.404998,-0.858344
0.409998,0.204647
0.414998,-0.259899
0.419998,0.403550
0.424998,0.061533
0.429998,-0.580900
0.434998,-0.362494
0.439998,-0.253554
0.444998,0.013804
0.449998,-1.027511
0.454998,-1.254720
0.459998,0.000111
0.464998,0.320697
0.469997,-0.602305
0.474997,-0.545072
0.479997,0.848472
0.484997,0.152874
0.489997,-0.660639
0.494997,-0.162083
0.499997,-0.313607
0.504997,0.287566
0.509997,-0.418333
0.514997,0.194834
0.519997,-0.123885
0.524997,-0.006231
0.529997,-0.649545
0.534997,0.081903
0.539997,0.376371
0.544997,0.185585
0.549996,-0.625282
0.554996,0.047630
0.559996,-0.503925
0.564996,0.379519
0.569996,-0.891429
0.574996,-0.062606
0.579996,-0.092290
0.584996,-0.075544
0.589996,0.348575
0.594996,0.420947
0.599996,-0.985896
0.604996,0.046100
0.609996,-0.313997
0.614996,0.093006
0.619996,0.347146
0.624996,-0.270053
0.629995,0.496635
0.634995,0.086264
0.639995,-1.069050
0.644995,-0.105944
0.649995,0.304938
0.654995,0.621983
0.659995,-0.080004
0.664995,0.580156
0.669995,0.057190
0.674995,0.194220
0.679995,-0.599306
0.684995,0.062829
0.689995,0.032978
0.694995,0.598302
0.699995,0.598299
0.704994,-0.201905
0.709994,0.653895
0.714994,-0.225755
0.719994,0.007498
0.724994,0.780064
0.729994,0.065944
0.734994,0.649301
0.739994,-0.650501
0.744994,0.656097
0.749994,-0.009677
0.754994,-0.171116
0.759994,0.278870
0.764994,0.442497
0.769994,-0.439969
0.774994,0.760724
0.779994,-0.066347
0.784993,-0.100066
0.789993,0.565601
0.794993,-0.912818
0.799993,-0.100065
0.804993,0.165012
0.809993,-0.371163
0.814993,-0.215665
0.819993,-0.162793
0.824993,0.463583
0.829993,0.073321
0.834993,0.318016
0.839993,0.065554
0.844993,0.643124
0.849993,-0.072440
0.854993,-0.095868
0.859993,-0.335616
0.864992,-0.157892
0.869992,-0.461582
0.874992,0.120432
0.879992,-0.084252
0.884992,-0.384023
0.889992,-0.663073
0.894992,-0.692244
0.899992,0.480893
0.904992,-0.009946
0.909992,0.199394
0.914992,-0.323252
0.919992,-0.365749
0.924992,-0.254065
0.929992,0.477613
0.934992,-0.441283
0.939991,0.306001
0.944991,-0.234698
0.949991,1.255694
0.954991,-0.658838
0.959991,0.482580
0.964991,1.189051
0.969991,-0.730157
0.974991,0.966005
0.979991,-0.681264
0.984991,0.180982
0.989991,0.638320
0.994991,-0.602347
0.999991,0.252147
1.004991,0.156941
1.009991,0.010714
1.014991,0.940983
1.019992,0.611428
1.024992,-0.086679
1.029992,-0.677286
1.034992,0.014193
1.039993,-0.003503
1.044993,-0.045586
1.049993,0.719706
1.054993,-0.065364
1.059994,-0.146777
1.064994,-0.047332
1.069994,-0.275317
1.074994,-0.154363
1.079994,0.578135
1.084995,0.140098
1.089995,-0.105030
1.094995,-0.076766
1.099995,0.486140
1.104996,-0.111632
1.109996,0.537737
1.114996,-0.235393
1.119996,-0.097116
1.124997,-0.324518
1.129997,-0.776055
1.134997,0.381494
1.139997,0.179340
1.144997,-0.305418
1.149998,1.046116
1.154998,0.406121
1.159998,0.013179
1.164998,-0.359008
1.169999,-0.115168
1.174999,0.468639
1.179999,0.270888
1.184999,-0.452184
1.190000,-0.422263
1.195000,-0.024469
1.200000,-0.155014
1.205000,0.084681
1.210001,0.107082
1.215001,-0.188986
1.220001,-0.816726
1.225001,0.719400
1.230001,0.023491
1.235002,-0.460324
1.240002,-0.533927
1.245002,-0.241842
1.250002,-1.025312
1.255003,0.255952
1.260003,0.917379
1.265003,-0.356955
1.270003,-0.054766
1.275004,0.508967
1.280004,0.442293
1.285004,0.285997
1.290004,-0.907539
1.295004,0.097415
1.300005,0.224589
1.305005,0.047225
1.310005,-0.543759
1.315005,0.035680
1.320006,-0.182719
1.325006,0.349814
1.330006,-0.003293
1.335006,-0.280428
1.340007,0.215719
1.345007,-0.450005
1.350007,0.095965
1.355007,-0.762617
1.360008,-0.265364
1.365008,-0.196927
1.370008,-0.325348
1.375008,1.174281
1.380008,-0.611057
1.385009,0.179480
1.390009,-0.171545
1.395009,0.143510
1.400009,-0.050216
1.405010,1.129445
1.410010,-0.191069
1.415010,-0.406490
1.420010,0.416735
1.425011,-0.407208
1.430011,0.856432
1.435011,-0.091370
1.440011,-0.177759
1.445011,0.456723
1.450012,-0.038268
1.455012,-0.690427
1.460012,-0.250077
1.465012,0.184571
1.470013,0.173458
1.475013,0.649487
1.480013,-0.885213
1.485013,-0.481673
1.490014,0.406592
1.495014,0.539936
1.500014,0.121472
1.505014,0.036911
1.510015,0.434770
1.515015,-0.079156
1.520015,0.149890
1.525015,0.488334
1.530015,0.176109
1.535016,-0.877761
1.540016,-0.017364
1.545016,-0.216202
1.550016,0.339567
1.555017,0.169633
1.560017,0.508572
1.565017,0.632975
1.570017,0.368239
1.575018,-0.913072
1.580018,-0.205736
1.585018,-0.653696
1.590018,-0.056814
1.595019,-0.164246
1.600019,-0.770951
1.605019,0.017842
1.610019,0.020352
1.615019,0.117323
1.620020,-1.079450
1.625020,-0.131349
1.630020,-0.444112
1.635020,0.641172
1.640021,0.453295
1.645021,-0.240785
1.650021,-0.558878
1.655021,-0.197189
1.660022,0.202007
1.665022,0.445204
1.670022,0.729938
1.675022,0.669904
1.680022,0.722191
1.685023,0.506082
1.690023,0.665851
1.695023,0.008125
1.700023,0.068511
1.705024,-0.660462
1.710024,0.223099
1.715024,-0.104111
1.720024,-0.825762
1.725025,-0.129626
1.730025,-0.732994
1.735025,0.062786
1.740025,-0.031489
1.745026,0.345201
1.750026,0.112307
1.755026,-0.365440
1.760026,0.193081
1.765026,-0.041214
1.770027,0.260233
1.775027,-0.673936
1.780027,0.035560
1.785027,0.189410
1.790028,0.285908
1.795028,-0.190567
1.800028,0.475778
1.805028,-0.541002
1.810029,0.054875
1.815029,0.357501
1.820029,0.557546
1.825029,-0.361179
1.830029,0.114692
1.835030,-0.358713
1.840030,-0.537501
1.845030,0.510526
1.850030,0.318611
1.855031,-0.174171
1.860031,-0.756650
1.865031,-0.255318
1.870031,0.559180
1.875032,0.385528
1.880032,0.100965
1.885032,-0.197996
1.890032,-0.809273
1.895033,0.104372
1.900033,-0.142282
1.905033,-1.171950
1.910033,0.419153
1.915033,0.104288
1.920034,-0.585284
1.925034,0.116552
1.930034,0.638852
1.935034,-0.046745
1.940035,0.228172
1.945035,-0.024940
1.950035,0.445788
1.955035,-0.063584
1.960036,-0.385084
1.965036,-0.566796
1.970036,0.560318
1.975036,-0.377338
1.980036,-0.195350
1.985037,0.420367
1.990037,-0.294053
1.995037,0.431485
2.000037,0.215638
2.005037,-0.390254
2.010037,0.377387
2.015036,0.225897
2.020036,0.237000
2.025036,0.235156
2.030035,-0.350082
2.035035,0.625572
2.040035,0.395095
2.045034,-0.453614
2.050034,0.095796
2.055033,0.861985
2.060033,-0.176872
2.065033,-0.296548
2.070032,0.026611
2.075032,-0.227555
